ID,Metric Name,Definition,Footnote,Calculation,Usage Guidance,Primary Impact Category,Cross-Category,Impact Category & Theme,Agriculture,Smallholder Agriculture,Sustainable Agriculture,Food Security,Air,Clean Air,Biodiversity and Ecosystems,Biodiversity and Ecosystem Conservation,Climate,Climate Change Mitigation,Climate Resilience and Adaptation,Diversity and Inclusion,Gender Lens,Racial Equity,Education,Access to Quality Education,Employment,Quality Jobs,Energy,Energy Access,Clean Energy,Energy Efficiency,Financial Services,Financial Inclusion,Health,Access to Quality Healthcare,Nutrition,Infrastructure,Resilient Infrastructure,Land,Natural Resources Conservation,Sustainable Land Management,Sustainable Forestry,Oceans and Coastal Zones,Marine Resources Conservation & Management,Pollution,Pollution Prevention,Real Estate,Affordable Quality Housing,Green Buildings,Waste,Waste Management,Water,"Water, Sanitation and Hygiene (WASH)",Sustainable Water Management,Social and/or Environmental Focus,Environmental,Social,Section,Subsection,Citation,Metric Type,Related Metrics,Metric Level,Metric Quantity Type,Reporting Format,SDGs,SDG 1: No Poverty,SDG Target 1.1.,SDG Target 1.2.,SDG Target 1.3.,SDG Target 1.4.,SDG Target 1.5.,SDG Target 1.a.,SDG Target 1.b.,SDG 2: Zero Hunger,SDG Target 2.1.,SDG Target 2.2.,SDG Target 2.3.,SDG Target 2.4.,SDG Target 2.5.,SDG Target 2.a.,SDG Target 2.b.,SDG Target 2.c.,SDG 3: Good Health and Well-being,SDG Target 3.1.,SDG Target 3.2.,SDG Target 3.3.,SDG Target 3.4.,SDG Target 3.5.,SDG Target 3.6.,SDG Target 3.7.,SDG Target 3.8.,SDG Target 3.9.,SDG Target 3.a.,SDG Target 3.b.,SDG Target 3.c.,SDG Target 3.d.,SDG 4: Quality Education,SDG Target 4.1.,SDG Target 4.2.,SDG Target 4.3.,SDG Target 4.4.,SDG Target 4.5.,SDG Target 4.6.,SDG Target 4.7.,SDG Target 4.a.,SDG Target 4.b.,SDG Target 4.c.,SDG 5: Gender Equality,SDG Target 5.1.,SDG Target 5.2.,SDG Target 5.3.,SDG Target 5.4.,SDG Target 5.5.,SDG Target 5.6.,SDG Target 5.a.,SDG Target 5.b.,SDG Target 5.c.,SDG 6: Clean Water and Sanitation,SDG Target 6.1.,SDG Target 6.2.,SDG Target 6.3.,SDG Target 6.4.,SDG Target 6.5.,SDG Target 6.6.,SDG Target 6.a.,SDG Target 6.b.,SDG 7: Affordable and Clean Energy,SDG Target 7.1.,SDG Target 7.2.,SDG Target 7.3.,SDG Target 7.a.,SDG Target 7.b.,SDG 8: Decent Work and Economic Growth,SDG Target 8.1.,SDG Target 8.2.,SDG Target 8.3.,SDG Target 8.4.,SDG Target 8.5.,SDG Target 8.6.,SDG Target 8.7.,SDG Target 8.8.,SDG Target 8.9.,SDG Target 8.10,SDG Target 8.a.,SDG Target 8.b.,"SDG 9: Industry, Innovation and Infrastructure",SDG Target 9.1.,SDG Target 9.2.,SDG Target 9.3.,SDG Target 9.4.,SDG Target 9.5.,SDG Target 9.a.,SDG Target 9.b.,SDG Target 9.c.,SDG 10: Reduced Inequalities,SDG Target 10.1.,SDG Target 10.2.,SDG Target 10.3.,SDG Target 10.4.,SDG Target 10.5.,SDG Target 10.6.,SDG Target 10.7.,SDG Target 10.a.,SDG Target 10.b.,SDG Target 10.c.,SDG 11: Sustainable Cities and Communities,SDG Target 11.1.,SDG Target 11.2.,SDG Target 11.3.,SDG Target 11.4.,SDG Target 11.5.,SDG Target 11.6.,SDG Target 11.7.,SDG Target 11.a.,SDG Target 11.b.,SDG Target 11.c.,SDG 12: Responsible Consumption and Production,SDG Target 12.1.,SDG Target 12.2.,SDG Target 12.3.,SDG Target 12.4.,SDG Target 12.5.,SDG Target 12.6.,SDG Target 12.7.,SDG Target 12.8.,SDG Target 12.a.,SDG Target 12.b.,SDG Target 12.c.,SDG 13: Climate Action,SDG Target 13.1.,SDG Target 13.2.,SDG Target 13.3.,SDG Target 13.a.,SDG Target 13.b.,SDG 14: Life Below Water,SDG Target 14.1.,SDG Target 14.2.,SDG Target 14.3.,SDG Target 14.4.,SDG Target 14.5.,SDG Target 14.6.,SDG Target 14.7.,SDG Target 14.a.,SDG Target 14.b.,SDG Target 14.c.,SDG 15: Life on Land,SDG Target 15.1.,SDG Target 15.2.,SDG Target 15.3.,SDG Target 15.4.,SDG Target 15.5.,SDG Target 15.6.,SDG Target 15.7.,SDG Target 15.8.,SDG Target 15.9.,SDG Target 15.a.,SDG Target 15.b.,SDG Target 15.c.,"SDG 16: Peace, Justice and Institutions",SDG Target 16.1.,SDG Target 16.2.,SDG Target 16.3.,SDG Target 16.4.,SDG Target 16.5.,SDG Target 16.6.,SDG Target 16.7.,SDG Target 16.8.,SDG Target 16.9.,SDG Target 16.10.,SDG Target 16.a.,SDG Target 16.b.,SDG 17: Partnerships for the Goals,Dimensions of Impact,What,Who,How Much Scale,How Much Depth,How Much Duration,Contribution Depth,Contribution Duration,Risk,JII Impact Indicators,JII Gender,JII Jobs,JII Climate,Aligned JII Indicators,JII Guidance,Stakeholders,Clients,Distributors,Employees,Environment,Suppliers,Operational Impact,Environmental Policies & Performance,Social Policies & Performance,Governance & Ownership,Investment Lens,Gender,Geographic Setting,Minority and Disabled,Poverty Level,Small-and-Medium Enterprises,Financials,Balance Sheet,Cash Flow,Income Statement,Other Financial,IRIS Reports,Reporting Info,Organization Info,Discontinued Metrics
PD2243,Greenhouse Gas Emissions of Product Replaced,Amount of greenhouse gases (GHG) that would have been emitted by the replaced product during the lifetime of the organization's product. Organizations should use Product Lifetime (PD4587) to capture the lifetime of the product.,"Organizations should footnote the details on the product replaced, including source of data on its GHG emissions, along with other calculation assumptions.",,"This metric is intended to capture the GHG emissions of the product that is being replaced by a product from the organization, with emissions measured over the lifetime of the organization's product. For example, an organization that sells solar lights might report the product replaced as a kerosene lamp, reporting against this metric the GHG emissions from that replaced kerosene lamp over the lifetime of the organization's solar light.

The Greenhouse Gas Protocol (GHG Protocol) is the most widely used international accounting tool to understand, quantify, and manage greenhouse gas emissions. For more information on the GHG Protocol, organizations should refer to the following:
- Greenhouse Gas Protocol Standards (http://www.ghgprotocol.org/standards)
- Greenhouse Gas Protocol Calculators (https://ghgprotocol.org/calculation-tools) 

In some circumstances, this metric can help describe the CONTRIBUTION an enterprise likely had to the degree of change (depth) in outcome that the stakeholders experienced, relative to what the market or social system would have done anyway. For more on the alignment of IRIS metrics to the five dimensions of impact, see IRIS+ and the Five Dimensions of Impact (https://iris.thegiin.org/document/iris-and-the-five-dimensions/). No single metric is sufficient to understand an impact; rather, metrics are selected as a set across all dimensions of impact. When possible, the selection of metrics to measure and describe the five dimensions should be based on best practice and evidence.",Climate,,,,,,,X,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,X,,,,,,,X,,Product Impact,Quality & Performance,"IRIS, 2021. Greenhouse Gas Emissions of Product Replaced (PD2243). v5.2.",Metric,,Product/Service,Flow,Number of Metric Tons of CO2 Equivalent,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,X,,,,,,X,,,,,X,,,,X,,X,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,
OI4862,Greenhouse Gas Emissions Reduced,Amount of greenhouse gas (GHG) emissions reduced by the organization during the reporting period.,"Organizations should footnote all assumptions used, including detailed information on calculation methodology. See usage guidance for further information.",,"This metric is intended to capture the total amount of greenhouse gas emissions that were reduced by the organization during the reporting period. This metric should be used in combination with Greenhouse Gas Emissions Mitigation Types (OI9839) in order to disaggregate the types of greenhouse gas emissions reductions as relevant to the organization's activities. 

Calculating greenhouse gas emissions reductions is a technical process. In calculating this metric, organizations should align with an accepted standard, such as the American Carbon Registry or Greenhouse Gas (GHG) Protocol. 

This metric is multi-dimensional with regard to the five dimensions of impact. In some contexts, this metric can serve as an indicator of whether the outcome being sought by an investor or organization is occurring (the WHAT dimension of impact). It may also help measure the HOW MUCH Scale dimension, which helps estimate the number of the targeted stakeholders experiencing the outcome. For more on the alignment of IRIS metrics to the five dimensions of impact, see specific guidance document. No single metric is sufficient to understand an impact; rather, metrics are selected as a set across all dimensions of impact. When possible, the selection of metrics to measure and describe the five dimensions should be based on best practice and evidence.",Climate,,,,,,,X,X,,,X,X,X,,,,,,,,X,X,X,,,,,,,,,,,,,,,X,X,X,,X,,,,,,,X,,Operational Impact,Environmental Performance,"IRIS, 2021. Greenhouse Gas Emissions Reductions (OI4862) v5.2.",Metric,,"Product/Service, Organization",Flow,Number of Metric Tons of CO2 Equivalent,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,X,,,,,,X,,,,,X,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
OI5732,Greenhouse Gas Emissions Scopes,"Describes the applicable types of greenhouse gases (GHG) emitted as a result of the organization's operations during the reporting period.

Choose all that apply: 

- Scope 1/Direct Emissions (emissions from owned or controlled sources)
- Scope 2/Indirect Emissions (emissions from purchased energy)
- Scope 3/Indirect and direct emissions across the organization’s value chain","Organizations should footnote all assumptions used, including source of data.",,"This metric is intended to capture the different types of greenhouse gas emissions reported. 

The Greenhouse Gas (GHG) Protocol, the most widely used international accounting tool to understand, quantify, and manage greenhouse gas emissions, categorizes direct and indirect emissions into three broad scopes.
Scope 1/Direct GHG emissions are emissions from sources that are owned or controlled by the reporting entity.
Scope 2/Indirect GHG emissions are emissions that result from the activities of the reporting entity but that occur at sources owned or controlled by another entity.
Scope 3 GHG emissions are emitted directly and indirectly by actors across the organization's value chain.

For more information on the GHG Protocol, organizations should refer to the following:
- Greenhouse Gas Protocol Standards (http://www.ghgprotocol.org/standards)
- Greenhouse Gas Protocol Calculators (https://ghgprotocol.org/calculation-tools) 

GHG emissions resulting from land use, changes in land use, bioenergy, and related topics can be reported in conjunction with indirect emissions across the organization's value chain. 

Organizations can use this metric in conjunction with Greenhouse Gas Emissions: Total (OI1479) to detail the GHG emissions for a specific scope. For GHG related to products, organizations may report Greenhouse Gas Emissions of Product (PD9427) and Greenhouse Gas Emissions of Product Replaced (PD2243).",Cross-Category,X,,X,X,X,,X,X,,,X,X,X,,,,,,,,X,X,X,X,,,,,,,,,,,,,,X,X,X,,X,,,,,,,X,,Operational Impact,Environmental Performance,"IRIS, 2021. Greenhouse Gas Emissions Types (OI5732). v5.2.",Metric,,"Product/Service, Organization",Flow,Selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
PI9878,Greenhouse Gas Emissions Sequestered,Amount of greenhouse gas (GHG) emissions sequestered by the organization during the reporting period.,"Organizations should footnote all assumptions used, including detailed information on calculation methodology and source of data. See usage guidance for further information.",,"This metric is intended to capture the total amount of GHG emissions sequestered during the reporting period. Organizations should use this metric in combination with Greenhouse Gas Emissions Mitigation Types (OI9839) in order to disaggregate the types of GHG emissions sequestered that are relevant to the organization's activities. This metric refers to GHG emissions sequestered during the reporting period, not over the lifetime of trees or forestland, for example. 

Greenhouse gas emissions are anthropogenic drivers of climate change, which alters species’ habitats. Species that cannot migrate or adapt become extinct, leading to worldwide decline in biodiversity and ecosystem services. Restoring carbon sinks such as forests and peatlands can help mitigate climate change by sequestering carbon.

Calculating GHG emissions sequestration is technical and requires standardized, precise methodological guidance. Organizations should refer to at least one of the following standards when calculating this metric: Verified Carbon Standard, Gold Standard, American Carbon Registry, AFOLU Carbon Calculator, Climate Action Reserve Standard, and Plan Vivo Standard. For tools that may be helpful in calculating this and related metrics, see the GHG Protocol Calculators (https://ghgprotocol.org/calculation-tools). 

This metric is multi-dimensional with regard to the five dimensions of impact. In some contexts, this metric can serve as an indicator of whether the outcome being sought by an investor or organization is occurring (the WHAT dimension of impact). It may also help measure the HOW MUCH Scale dimension, which helps estimate the number of the targeted stakeholders experiencing the outcome. For more on the alignment of IRIS metrics to the five dimensions of impact, see IRIS+ and the Five Dimensions of Impact (https://iris.thegiin.org/document/iris-and-the-five-dimensions/). No single metric is sufficient to understand an impact; rather, metrics are selected as a set across all dimensions of impact. When possible, the selection of metrics to measure and describe the five dimensions should be based on best practice and evidence.",Cross-Category,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,Product Impact,Environmental Performance,"IRIS, 2021. Greenhouse Gas Emissions Sequestered (PI9878). v5.2.",Metric,,"Product/Service, Organization",Flow,Number of Metric Tons of CO2 Equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,X,,,X,GHG Emissions Sequestration,"Greenhouse Gas Emissions Sequestered (PI9878) is required for Joint Impact Indicator: GHG Emissions Sequestration.

JII definition: Amount of GHG emissions sequestered during the reported period, measured in tons.

JII unit of measurement: t (CO2e)",,,,,,,,X,,,,,,,,,,,,,,,,,
OI8237,Greenhouse Gas Emissions Strategy,Indicates whether the organization implements a strategy to reduce greenhouse gas (GHG) emissions.,"Organizations should footnote the details of the strategy, the type and scope of emissions on which the strategy focuses, and how the strategy is being implemented, including specific reduction targets. See usage guidance for further information.",,"This metric is intended to capture whether or not an organization has a greenhouse gas emissions strategy and to provide, in footnotes, detailed information on that strategy. It does not, however, evaluate the success with which that strategy is implemented.

The Greenhouse Gas Protocol (GHG Protocol) is the most widely used international accounting tool to understand, quantify, and manage greenhouse gas emissions. The GHG Protocol defines direct and indirect emissions as follows:
- Direct GHG emissions are emissions from sources that are owned or controlled by the reporting entity.
- Indirect GHG emissions are emissions that result from the activities of the reporting entity but that occur at sources owned or controlled by other entities.

The GHG Protocol further categorizes these direct and indirect emissions into three broad scopes. For more information on the GHG Protocol, organizations should refer to the following:
- Greenhouse Gas Protocol Standards (http://www.ghgprotocol.org/standards)
- Greenhouse Gas Protocol Calculators (https://ghgprotocol.org/calculation-tools) 

Organizations reporting this metric should also consider reporting against Greenhouse Gas Emissions: Total (OI1479), Greenhouse Gas Emissions: Direct (OI4112), and Greenhouse Gas Emissions: Indirect (OI9604).",Climate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,Operational Impact,Environmental Policies,"IRIS, 2021. Greenhouse Gas Emissions Strategy (OI8237). v5.2.",Metric,,Organization,Stock,Yes/No,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,X,,,,,,X,,,,,X,,,,X,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,
OI4112,Greenhouse Gas Emissions: Direct (Scope 1),Amount of greenhouse gases (GHG) emitted from direct emissions sources as a result of the organization's operations during the reporting period.,"Organizations should footnote all assumptions used, including detailed information on their calculation methodology and source of data. See usage guidance for further information.",,"This metric is intended to capture the amount of greenhouse gases emitted directly from sources owned or controlled by the organization during the reporting period. For tools that may be helpful in calculating this and related metrics, see GHG Protocol Calculators (https://ghgprotocol.org/calculation-tools). 

The Greenhouse Gas Protocol (GHG Protocol) classifies direct emissions as ""Scope 1"" emissions. The GHG Protocol, the most widely used international accounting tool to understand, quantify, and manage greenhouse gas emissions, defines direct emissions as emissions from sources that are owned or controlled by the reporting entity. For more information on the GHG Protocol, organizations should refer to the following:
- Greenhouse Gas Protocol Standards (http://www.ghgprotocol.org/standards)
- Greenhouse Gas Protocol Calculators (https://ghgprotocol.org/calculation-tools)

Direct GHG emissions come from sources that are owned or controlled by the reporting organization. For example, direct emissions related to combustion would arise from burning fuel for energy within the reporting organization's operational boundaries.

Organizations are also encouraged to report Greenhouse Gas Emissions Strategy (OI8237).

In some contexts, this metric can serve as an indicator of whether the outcome being sought by an investor or organization is occurring (the WHAT dimension of impact). For more on the alignment of IRIS metrics to the five dimensions of impact, see IRIS+ and the Five Dimensions of Impact (https://iris.thegiin.org/document/iris-and-the-five-dimensions/). No single metric is sufficient to understand an impact; rather, metrics are selected as a set across all dimensions of impact. When possible, the selection of metrics to measure and describe the five dimensions should be based on best practice and evidence.",Cross-Category,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,Operational Impact,Environmental Performance,"IRIS, 2021. Greenhouse Gas Emissions: Direct (OI4112). v5.2.",Submetric,OI1479,Organization,Flow,Number of Metric Tons of CO2 Equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
OI9604,Greenhouse Gas Emissions: Indirect (Scope 2),Amount of greenhouse gases (GHG) emitted from indirect emissions sources as a result of the organization's operations during the reporting period.,"Organizations should footnote all assumptions used, including detailed information on their calculation methodology and source of data. See usage guidance for further information.",,"This metric is intended to capture the amount of greenhouse gases emitted indirectly by the organization from the generation of purchased energy during the reporting period. For tools that may be helpful in calculating this and related metrics, see GHG Protocol Calculators (https://ghgprotocol.org/calculation-tools). 

The Greenhouse Gas Protocol (GHG Protocol), the most widely used international accounting tool to understand, quantify, and manage greenhouse gas emissions, defines indirect emissions as emissions that result from the activities of the reporting entity but that occur at sources owned or controlled by other entities.

The GHG Protocol further categorizes indirect emissions into ""Scope 2"" and ""Scope 3."" Scope 2 includes GHG emissions resulting from the consumption of purchased electricity, heat, or steam. Scope 3 includes indirect emissions such as the extraction and production of purchased materials and fuels, transport-related activities in vehicles not owned or controlled by the reporting entity, electricity-related activities (e.g., Transition and Distribution [T&D] losses) not covered in Scope 2, outsourced activities, and waste disposal, among other sources. For more information on the GHG Protocol, organizations should refer to the following:
the following:
- Greenhouse Gas Protocol Standards (http://www.ghgprotocol.org/standards)
- Greenhouse Gas Protocol Calculators (https://ghgprotocol.org/calculation-tools) 

In the context of this metric, indirect emissions refer to GHG emissions from the generation of electricity, heat, or steam that is imported and consumed by the reporting organization.

Organizations are also encouraged to report Greenhouse Gas Emissions Strategy (OI8237).",Cross-Category,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,Operational Impact,Environmental Performance,"IRIS, 2021. Greenhouse Gas Emissions: Indirect (OI9604). v5.2.",Submetric,OI1479,Organization,Flow,Number of Metric Tons of CO2 Equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
OI1479,Greenhouse Gas Emissions: Total,Amount of greenhouse gases (GHG) emitted as a result of the organization's operations during the reporting period.,"Organizations should footnote all assumptions used, including detailed information on their calculation methodology and source of data. See usage guidance for further information.",,"This metric is intended to capture the total amount of greenhouse gases emitted during the reporting period. To disaggregate by scope (that is, source) of greenhouse gas emissions, organizations are encouraged to report Greenhouse Gas Emissions Scopes (OI5732), which allows for disaggregation by GHG Protocol Scopes 1–3. For tools that may be helpful in calculating this and related metrics, see GHG Protocol Calculators (https://ghgprotocol.org/calculation-tools). 

Organizations can also report Greenhouse Gas Emissions Strategy (OI8237). This metric should include emissions from both direct and indirect sources.

In some contexts, this metric can serve as an indicator of whether the outcome being sought by an investor or organization is occurring (the WHAT dimension of impact). For more on the alignment of IRIS metrics to the five dimensions of impact, see IRIS+ and the Five Dimensions of Impact (https://iris.thegiin.org/document/iris-and-the-five-dimensions/). No single metric is sufficient to understand an impact; rather, metrics are selected as a set across all dimensions of impact. When possible, the selection of metrics to measure and describe the five dimensions should be based on best practice and evidence.",Cross-Category,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,Operational Impact,Environmental Performance,"IRIS, 2021. Greenhouse Gas Emissions: Total (OI1479). v5.2.",Metric,,Organization,Flow,Number of Metric Tons of CO2 Equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,X,GHG Emissions,"Greenhouse Gas Emissions: Total (OI1479) is required for Joint Impact Indicator: GHG Emissions.

JII definition: Amount of GHG emissions emitted during the reporting period, measured in tons. Project-level emissions information provided by client can be used to calculate derivative indicators (e.g. emissions savings/reduction/avoidance) according to the most relevant methodology.

JII unit of measurement: t (CO2e)",,,,,,,,X,,,,,,,,,,,,,,,,,
PI5376,Greenhouse Gas Reductions due to Products Sold,Amount of reductions in greenhouse gas (GHG) emissions over the lifetimes of products sold during the reporting period.,Organizations should footnote all assumptions used.,= {Units/Volume Sold of Product 1: Total (PI1263) × [Greenhouse Gas Emissions of Product Replaced (PD2243) - Greenhouse Gas Emissions of Product 1 (PD9427)]} + {Units/Volume Sold of Product 2: Total (PI1263) × [Greenhouse Gas Emissions of Product Replaced (PD2243) - Greenhouse Gas Emissions of Product 2 (PD9427)]} + … + {Units/Volume Sold of Product N: Total (PI1263) × [Greenhouse Gas Emissions of Product Replaced (PD2243) - Greenhouse Gas Emissions of Product N (PD9427)]},"This metric is intended to capture the GHG emissions reduced or mitigated as a result of products the organization sold during the reporting period. The product-lifetime reduction in GHG emissions is calculated by subtracting Greenhouse Gas Emissions of Product (PD9427) from Greenhouse Gas Emissions of Product Replaced (PD2243). This is then multiplied by the units/volume sold per product to get the total GHG reductions over the lifetime of the product(s). These GHG reductions are then summed across all products sold during the reporting period.

When multiplying GHG reductions from each product sold by Units/Volume Sold: Total (PI1263), organizations should, under Units/Volume Sold: Total (PI1263), use the absolute number of product units sold rather than the volume of GHG reductions delivered by the product. 

The Greenhouse Gas Protocol (GHG Protocol) is the most widely used international accounting tool to understand, quantify, and manage greenhouse gas emissions. For more information on the GHG Protocol, organizations should refer to the following:
- Greenhouse Gas Protocol Standards (http://www.ghgprotocol.org/standards)
- Greenhouse Gas Protocol Calculators (https://ghgprotocol.org/calculation-tools) 

This metric is multi-dimensional with regard to the five dimensions of impact. In specific contexts, and based on evidence, this metric may serve as a proxy indicator of whether the outcome being sought by an investor or organization is occurring (the WHAT dimension of impact). It may also help measure the HOW MUCH Depth dimension of impact, which helps estimate the degree of change in outcome that the stakeholders experienced. For more on the alignment of IRIS metrics to the five dimensions of impact, see IRIS+ and the Five Dimensions of Impact (https://iris.thegiin.org/document/iris-and-the-five-dimensions/). No single metric is sufficient to understand an impact; rather, metrics are selected as a set across all dimensions of impact. When possible, the selection of metrics to measure and describe the five dimensions should be based on best practice and evidence.",Climate,,,,,,,X,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,X,,,,,,,X,,Product Impact,Quality & Performance,"IRIS, 2021. Greenhouse Gas Reductions due to Products Sold (PI5376). v5.2.",Metric,,Product/Service,Flow,Number of Metric Tons of CO2 Equivalent,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,X,,,,,,X,,,,,X,,,,X,,X,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,
OI6041,Greenhouse Gas Types,"Describes the type(s) of greenhouse gases produced or mitigated by the organization during the reporting period.

Choose all that apply: 
- Carbon dioxide (CO2)
- Methane (CH4) 
- Nitrous oxide (N2O) 
- Hydrofluorocarbons (HFCs)
- Perfluorocarbons (PFCs)
- Sulfur hexafluoride (SF6)
- Carbon dioxide (CO2) directly emitted from biologically sequestered carbon
- Undisclosed","Organizations should footnote all assumptions used, including source of data.",,"This metric is intended to capture the type of greenhouse gas emissions produced or mitigated by the organization during the reporting period.

To report in alignment with the GHG Protocol, Organizations are encouraged to use this metric in combination with Greenhouse Gas Emissions: Total (OI1479) and Greenhouse Gas Emissions Scopes (OI5732). For more information on the GHG Protocol, organizations should refer to the following:
- Greenhouse Gas Protocol Standards (http://www.ghgprotocol.org/standards)
- Greenhouse Gas Protocol Calculators (https://ghgprotocol.org/calculation-tools)",Climate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,Operational Impact,Environmental Policies,"IRIS, 2021. Greenhouse Gas Types (OI6041). v5.2.",Metric,,"Product/Service, Organization",Flow,Selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,
PI2025,Gross Earned Premium,"Value of premium earned by the organization as of the end of the reporting period, without any deductions for commissions or other expenses.",Organizations should footnote all assumptions used.,= (Gross written premium) + (Gross unearned premium as of the beginning of the reporting period – Gross unearned premium as of the end of the reporting period),"This metric is intended to capture gross premium earned, calculated as the premium income (written) in the period minus the change in unearned premium reserve.",Financial Services,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,X,Product Impact,Quality & Performance,"IRIS, 2021. Gross Earned Premium (PI2025). v5.2.",Metric,,"Product/Service, Organization",Stock,Reporting Currency (OD5990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
